Country,Country letter code,ISO code
Afghanistan,AFG,4
Albania,ALB,8
Algeria,DZA,12
American Samoa,ASM,16
Andorra,AND,20
Angola,AGO,24
Anguilla,AIA,660
Antigua and Barbuda,ATG,28
Argentina,ARG,32
Armenia,ARM,51
Aruba,ABW,533
Australia,AUS,36
Austria,AUT,40
Azerbaijan,AZE,31
Bahamas,BHS,44
Bahrain,BHR,48
Bangladesh,BGD,50
Barbados,BRB,52
Belarus,BLR,112
Belgium,BEL,56
Belize,BLZ,84
Benin,BEN,204
Bermuda,BMU,60
Bhutan,BTN,64
Bolivia,BOL,68
Bosnia and Herzegovina,BIH,70
Botswana,BWA,72
Brazil,BRA,76
British Virgin Islands,VGB,92
Brunei Darussalam,BRN,96
Bulgaria,BGR,100
Burkina Faso,BFA,854
Burundi,BDI,108
Cambodia,KHM,116
Cameroon,CMR,120
Canada,CAN,124
Cape Verde,CPV,132
Cayman Islands,CYM,136
Central African Republic,CAF,140
Chad,TCD,148
Channel Islands,CCC,830
Chile,CHL,152
China,CHN,156
"China, Hong Kong Special Administrative Region",HKG,344
Colombia,COL,170
Comoros,COM,174
Congo,COG,178
Cook Islands,COK,184
Costa Rica,CRI,188
Côte d'Ivoire,CIV,384
Croatia,HRV,191
Cuba,CUB,192
Cyprus,CYP,196
Czech Republic,CZE,203
Democratic People's Republic of Korea,PRK,408
Democratic Republic of the Congo,COD,180
Denmark,DNK,208
Djibouti,DJI,262
Dominica,DMA,212
Dominican Republic,DOM,214
Ecuador,ECU,218
Egypt,EGY,818
El Salvador,SLV,222
Equatorial Guinea,GNQ,226
Eritrea,ERI,232
Estonia,EST,233
Ethiopia,ETH,231
Faeroe Islands,FRO,234
Falkland Islands (Malvinas),FLK,238
Fiji,FJI,242
Finland,FIN,246
France,FRA,250
French Guiana,GUF,254
French Polynesia,PYF,258
Gabon,GAB,266
Gambia,GMB,270
Georgia,GEO,268
Germany,DEU,276
Ghana,GHA,288
Gibraltar,GIB,292
Greece,GRC,300
Greenland,GRL,304
Grenada,GRD,308
Guadeloupe,GLP,312
Guam,GUM,316
Guatemala,GTM,320
Guinea,GIN,324
Guinea-Bissau,GNB,624
Guyana,GUY,328
Haiti,HTI,332
Holy See,VAT,336
Honduras,HND,340
Hungary,HUN,348
Iceland,ISL,352
India,IND,356
Indonesia,IDN,360
Iran (Islamic Republic of),IRN,364
Iraq,IRQ,368
Ireland,IRL,372
Isle of Man,IMN,833
Israel,ISR,376
Italy,ITA,380
Jamaica,JAM,388
Japan,JPN,392
Jordan,JOR,400
Kazakhstan,KAZ,398
Kenya,KEN,404
Kiribati,KIR,296
Kuwait,KWT,414
Kyrgyzstan,KGZ,417
Lao People's Democratic Republic,LAO,418
Latvia,LVA,428
Lebanon,LBN,422
Lesotho,LSO,426
Liberia,LBR,430
Libyan Arab Jamahiriya,LBY,434
Liechtenstein,LIE,438
Lithuania,LTU,440
Luxembourg,LUX,442
Macao Special Administrative Region of China,MAC,446
Madagascar,MDG,450
Malawi,MWI,454
Malaysia,MYS,458
Maldives,MDV,462
Mali,MLI,466
Malta,MLT,470
Marshall Islands,MHL,584
Martinique,MTQ,474
Mauritania,MRT,478
Mauritius,MUS,480
Mayotte,MYT,175
Mexico,MEX,484
Micronesia (Federated States of),FSM,583
Monaco,MCO,492
Mongolia,MNG,496
Montenegro,MNE,499
Montserrat,MSR,500
Morocco,MAR,504
Mozambique,MOZ,508
Myanmar,MMR,104
Namibia,NAM,516
Nauru,NRU,520
Nepal,NPL,524
Netherlands,NLD,528
Netherlands Antilles,NLD,530
New Caledonia,NCL,540
New Zealand,NZL,554
Nicaragua,NIC,558
Niger,NER,562
Nigeria,NGA,566
Niue,NIU,570
Northern Mariana Islands,MNP,580
Norway,NOR,578
Occupied Palestinian Territory,PSE,275
Oman,OMN,512
Pakistan,PAK,586
Palau,PLW,585
Panama,PAN,591
Papua New Guinea,PNG,598
Paraguay,PRY,600
Peru,PER,604
Philippines,PHL,608
Pitcairn,PCN,612
Poland,POL,616
Portugal,PRT,620
Puerto Rico,PRI,630
Qatar,QAT,634
Republic of Korea,KOR,410
Republic of Moldova,MDA,498
Réunion,REU,638
Romania,ROU,642
Russian Federation,RUS,643
Rwanda,RWA,646
