Country letter code,ISO code,Country,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
IND,356,India,India,103740475,104531454,105530000,106728963,108121191,109699534,111456841,113385961,115479742,117731034,120132685,122677546,125358464,128168289,131099870,134146055,137299695,140553637,143900731,147333827,150845772,154429416,158077608,161783197,165539032,169337962,173172836,177036504,180921813,184821614,188728754,192636084,196536452,200422707,204287699,208124275,211925286,215683580,219392007,223043414,226630653,230146570,233584016,236935839,240194889,243354014,246406064,249343887,252160332,254848249,257400487,259809894,262069320,264171613,266109623,267876199,269464189,270866443,272075810,273085138,273887277,274475076,274841384,274979049,274880922,274539850
XAP,901,,Andhra Pradesh,9570822,9721560,9959363,10194259,10426278,10655446,10881793,11105347,11326136,11544190,11759536,11972203,12182219,12389613,12594413,12796647,12996345,13193534,13388243,13580500,13770334,13957774,14142847,14325582,14506008,14684152,14860044,15033712,15205185,15374490,15541656,15706712,15869686,16030607,16189503,16346401,16501332,16654323,16805403,16954600,17101943,17247459,17391178,17533128,17673338,17811835,17948648,18083806,18217337,18349270,18479633,18608454,18735762,18861585,18985953,19108892,19230432,19350601,19469427,19586940,19703167,19818137,19931878,20044419,20155788,20266013
XAR,902,,Arunachal Pradesh,100558,101995,104587,107203,109842,112505,115191,117901,120635,123392,126173,128977,131805,134657,137532,140431,143353,146299,149269,152262,155279,158319,161383,164471,167582,170717,173875,177057,180263,183492,186745,190021,193321,196645,199992,203363,206757,210175,213617,217082,220571,224083,227619,231179,234762,238369,241999,245653,249331,253032,256757,260505,264277,268073,271892,275735,279601,283491,287405,291342,295303,299287,303295,307327,311382,315461
XAS,903,,Assam,3669653,3655655,3670282,3686589,3704576,3724243,3745590,3768617,3793324,3819711,3847778,3877525,3908952,3942059,3976846,4013313,4051460,4091287,4132794,4175981,4220848,4267395,4315622,4365529,4417116,4470383,4525330,4581957,4640264,4700251,4761918,4825265,4890292,4956999,5025386,5095453,5167200,5240627,5315734,5392521,5470988,5551135,5632962,5716469,5801656,5888523,5977070,6067297,6159204,6252791,6348058,6445005,6543632,6643939,6745926,6849593,6954940,7061967,7170674,7281061,7393128,7506875,7622302,7739409,7858196,7978663
XBH,904,,Bihar,8906396,8929036,8970375,9029795,9106675,9200397,9310342,9435892,9576428,9731331,9899982,10081762,10276053,10482236,10699692,10927803,11165948,11413511,11669871,11934411,12206511,12485553,12770917,13061986,13358140,13658760,13963228,14270925,14581232,14893531,15207202,15521627,15836187,16150263,16463237,16774490,17083402,17389356,17691732,17989911,18283275,18571206,18853083,19128289,19396205,19656211,19907690,20150022,20382589,20604771,20815950,21015508,21202825,21377283,21538262,21685145,21817312,21934144,22035024,22119331,22186447,22235754,22266633,22278464,22270630,22242511
XGJ,908,,Gujarat,6363191,6304806,6263232,6237921,6228325,6233895,6254082,6288338,6336115,6396865,6470039,6555088,6651464,6758619,6876005,7003073,7139274,7284060,7436883,7597195,7764447,7938090,8117576,8302357,8491885,8685611,8882986,9083462,9286491,9491525,9698015,9905412,10113168,10320735,10527565,10733109,10936818,11138144,11336539,11531455,11722343,11908654,12089840,12265353,12434645,12597167,12752370,12899706,13038627,13168585,13289031,13399416,13499192,13587811,13664725,13729385,13781242,13819748,13844355,13854515,13849679,13829298,13792824,13739709,13669405,13581363
XHR,909,,Haryana,2102710,2105965,2114585,2128400,2147238,2170931,2199308,2232200,2269437,2310848,2356264,2405515,2458431,2514842,2574578,2637469,2703346,2772038,2843375,2917188,2993306,3071561,3151781,3233796,3317438,3402536,3488919,3576419,3664866,3754088,3843917,3934182,4024714,4115343,4205898,4296210,4386109,4475425,4563988,4651628,4738175,4823460,4907312,4989561,5070038,5148572,5224995,5299135,5370822,5439888,5506162,5569473,5629653,5686532,5739938,5789703,5835656,5877628,5915449,5948948,5977956,6002303,6021819,6036334,6045678,6049681
XHP,910,,Himachal Pradesh,777772,787182,800029,812875,825719,838562,851403,864243,877082,889920,902756,915591,928425,941258,954089,966919,979747,992574,1005400,1018225,1031048,1043870,1056691,1069511,1082329,1095146,1107961,1120775,1133588,1146400,1159210,1172019,1184827,1197634,1210439,1223243,1236045,1248846,1261646,1274445,1287242,1300038,1312833,1325627,1338419,1351210,1363999,1376787,1389574,1402360,1415144,1427927,1440709,1453490,1466269,1479047,1491823,1504598,1517372,1530145,1542916,1555686,1568455,1581223,1593989,1606754
XJK,911,,Jammu and Kashmir,830262,851967,878393,904797,931180,957542,983881,1010199,1036496,1062771,1089024,1115256,1141466,1167655,1193822,1219968,1246092,1272194,1298275,1324334,1350372,1376388,1402382,1428355,1454306,1480236,1506144,1532031,1557896,1583739,1609561,1635361,1661140,1686897,1712632,1738346,1764038,1789709,1815358,1840986,1866592,1892176,1917739,1943281,1968800,1994298,2019775,2045230,2070663,2096075,2121465,2146834,2172181,2197506,2222810,2248093,2273353,2298592,2323810,2349006,2374180,2399333,2424464,2449574,2474662,2499729
XKA,913,,Karnataka,6642291,6719954,6836068,6952746,7069988,7187792,7306160,7425092,7544587,7664645,7785267,7906452,8028200,8150512,8273388,8396826,8520828,8645394,8770523,8896215,9022471,9149290,9276672,9404618,9533128,9662200,9791836,9922036,10052799,10184125,10316015,10448468,10581484,10715064,10849208,10983914,11119184,11255018,11391415,11528375,11665899,11803986,11942636,12081850,12221628,12361968,12502872,12644340,12786371,12928965,13072123,13215844,13360128,13504976,13650388,13796362,13942900,14090002,14237667,14385895,14534687,14684042,14833960,14984442,15135488,15287096
