Country letter code,ISO code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AFG,4,Afghanistan,2025079,2069776,2118405,2168809,2211169,2250935,2276988,2299907,2314217,2313854,2296484,2239973,2167244,2088310,2015045,1955342,1909838,1884436,1882927,1909100,1962506,2062217,2196500,2346144,2489101,2613000,2697237,2756098,2804333,2860648,2936171,3038891,3167316,3312047,3460021,3602903,3712883,3810906,3903511,4000960,4110275,4243498,4396424,4564100,4738378,4913604,5084682,5247818,5406873,5568414,5735479,5898104,6066861,6237426,6403505,6561606,6718261,6865987,7002839,7127823,7239381,7451319,7660374,7865954,8067667,8265133
ALB,8,Albania,300097,308949,317902,327196,337160,347948,358831,370656,383308,396574,410347,424661,439264,454240,469700,485581,502128,518834,534702,548607,557372,558496,556183,551415,545386,538973,537805,536323,534515,532573,530694,529646,528466,526454,522585,516342,510910,502140,491130,479392,467963,462971,459381,456828,454708,452561,449537,447237,445097,442465,439119,436747,433537,429746,425804,421891,418579,415085,411315,407067,402206,401607,400227,398039,395027,391162
DZA,12,Algeria,2006272,2059603,2117439,2179536,2245800,2316039,2386609,2462441,2512827,2566506,2623456,2681624,2744552,2810769,2878992,2948558,3015024,3083616,3154399,3227827,3304178,3383091,3463996,3546679,3631318,3717851,3796301,3876970,3957391,4033397,4102676,4173902,4234843,4289568,4343023,4397028,4446459,4492825,4536866,4584292,4633638,4686202,4745939,4808574,4870420,4930512,4993418,5059001,5124892,5188148,5247147,5315551,5373462,5424122,5471009,5514802,5549810,5581514,5609400,5632243,5650401,5646358,5636748,5623611,5610252,5598876
ASM,16,American Samoa,3462,3580,3693,3811,3936,4043,4083,4133,4202,4298,4424,4576,4766,4983,5218,5465,5715,5980,6251,6517,6769,6971,7144,7297,7448,7602,7732,7866,7986,8068,8105,8146,8141,8094,8015,7911,7791,7646,7485,7322,7168,7044,6953,6884,6827,6776,6748,6729,6715,6702,6690,6683,6683,6688,6697,6716,6759,6811,6870,6929,6988,7054,7117,7175,7227,7273
AGO,24,Angola,1034774,1046469,1062372,1081515,1102883,1125835,1144753,1166160,1190371,1217967,1249128,1279074,1313940,1351432,1388942,1425142,1451609,1476867,1503096,1533020,1568078,1602224,1642818,1687677,1734264,1781167,1818061,1856113,1896358,1939925,1987277,2030774,2079516,2132160,2187474,2244772,2296456,2351111,2408754,2469631,2534256,2596256,2663658,2735775,2811800,2891342,2968771,3049975,3135401,3225718,3321203,3414321,3513508,3618297,3728071,3842527,3955658,4074364,4198486,4328043,4463017,4619035,4781641,4950366,5124694,5304295
AIA,660,Anguilla,441,439,442,444,444,440,451,461,469,478,491,489,489,490,495,503,557,619,688,761,835,888,939,984,1029,1079,1131,1188,1248,1303,1351,1390,1421,1447,1476,1506,1526,1547,1571,1593,1613,1632,1648,1663,1678,1691,1703,1713,1723,1735,1749,1764,1780,1797,1814,1830,1846,1861,1875,1889,1902,1891,1879,1864,1849,1832
ATG,28,Antigua and Barbuda,5981,6100,6233,6369,6499,6617,6729,6827,6908,6974,7024,7062,7062,7036,6996,6945,6799,6674,6568,6483,6427,6585,6754,6945,7165,7408,7811,8247,8683,9080,9405,9456,9459,9449,9460,9511,9598,9701,9814,9926,10032,10129,10226,10314,10382,10426,10444,10438,10423,10423,10452,10510,10597,10715,10867,11053,11280,11546,11836,12124,12392,12480,12539,12574,12598,12620
ARG,32,Argentina,3613062,3657531,3704204,3752135,3799685,3845487,3886361,3923281,3958240,3995106,4036428,4072314,4119045,4172551,4226726,4278784,4343373,4401439,4457115,4516344,4581220,4639716,4703919,4771963,4840608,4908663,4976709,5045701,5114455,5181981,5247587,5316838,5381737,5444108,5506603,5570477,5631869,5695993,5761549,5826376,5889566,5955952,6019431,6080611,6140976,6200961,6259516,6317282,6373042,6424962,6472023,6518527,6560103,6595456,6622753,6640959,6652648,6654690,6651049,6647691,6648401,6675697,6707066,6740419,6772177,6800134
ARM,51,Armenia,402206,415760,428451,440516,452385,464205,473374,482567,491899,501415,511218,521832,532030,541565,550063,557226,565248,572189,577466,580788,582043,576227,568065,558607,549015,540252,536721,534604,533296,531665,528659,525132,520024,513366,505407,496533,485374,473550,462920,455702,453179,455744,462836,471973,480228,485912,489155,489804,488562,486355,483874,482288,479934,476981,473558,469647,465090,460001,454214,447592,440122,434364,427751,420357,412187,403186
ABW,533,Aruba,7315,7543,7779,8022,8268,8513,8609,8706,8816,8941,9080,9269,9411,9547,9647,9700,9604,9459,9325,9281,9368,9758,10305,10920,11508,12012,12351,12613,12822,13004,13180,13338,13490,13611,13660,13613,13409,13104,12730,12336,11949,11601,11297,11033,10802,10600,10441,10308,10204,10132,10092,10066,10077,10119,10182,10260,10363,10482,10617,10769,10939,10961,10984,11011,11041,11073
AUS,36,Australia,1810847,1846730,1877878,1907244,1938809,1974740,2005190,2041742,2083334,2128083,2175091,2231195,2286888,2343561,2403522,2467303,2529996,2584118,2639773,2692741,2740673,2782223,2818007,2847618,2871218,2888949,2901581,2908204,2909937,2908730,2906442,2904275,2903453,2905164,2910233,2918706,2934133,2955027,2980154,3007785,3036407,3052455,3069647,3088713,3110040,3134424,3154898,3176482,3198240,3218441,3235806,3243809,3248953,3254026,3263195,3279159,3301338,3329662,3361921,3394191,3423771,3441355,3455055,3466340,3477371,3489578
AUT,40,Austria,1162726,1165669,1157795,1147610,1138575,1132821,1128170,1125376,1124706,1126052,1129150,1133290,1139198,1146263,1153672,1160888,1166924,1174063,1181412,1187726,1192276,1194387,1195784,1196740,1198200,1200679,1198308,1195548,1192911,1190630,1188921,1187826,1187409,1187009,1185876,1183373,1177286,1169329,1159795,1148816,1136454,1123251,1109689,1096415,1083594,1071417,1056402,1041110,1026287,1012871,1001339,991178,982701,975852,970430,966237,963448,961955,961164,960159,958391,952240,944681,936197,927678,919723
AZE,31,Azerbaijan,738212,753380,768035,782752,798398,815551,834573,854953,877086,901312,927616,953958,982122,1010225,1035627,1056787,1074273,1089536,1104888,1122805,1143743,1167349,1194276,1223612,1254075,1284870,1315677,1347125,1378921,1410301,1440537,1465480,1488575,1511104,1533999,1557022,1575217,1593176,1610756,1626972,1641377,1655812,1664126,1666304,1666266,1666801,1660915,1661682,1664593,1663930,1657525,1654811,1645363,1632058,1619000,1607780,1597609,1587837,1577364,1563754,1545476,1534158,1519132,1501007,1481035,1460112
BHS,44,Bahamas,21559,22185,22673,23086,23506,23972,24195,24517,24926,25382,25869,26596,27250,27855,28460,29078,29548,30085,30658,31210,31714,32352,32894,33362,33800,34223,34575,34945,35323,35681,36009,36407,36784,37129,37453,37763,38061,38330,38603,38871,39082,39006,39011,39073,39197,39402,39676,40032,40454,40918,41403,41911,42422,42970,43604,44353,45185,46131,47152,48186,49195,49207,49122,48972,48807,48655
BHR,48,Bahrain,29410,30542,31696,33090,34646,36324,38331,40583,43015,45531,48048,51045,53913,56702,59451,62169,63336,64700,66194,67811,69594,70906,72536,74552,76917,79437,81229,83548,86146,88736,91159,93884,96256,98827,102292,107012,115393,125213,135700,145691,154232,155640,155235,153585,151622,150090,150151,150609,151376,152199,152921,153854,154567,155233,156093,157226,158148,159396,160779,162002,162918,162648,162026,161172,160299,159540
BGD,50,Bangladesh,12125896,12327975,12508452,12684005,12871265,13053264,13303669,13605542,13952025,14339310,14762103,15134379,15563903,16036839,16533839,17047770,17570784,18113419,18673927,19254264,19852457,20406850,20974331,21558473,22164536,22797457,23445758,24117077,24812997,25537367,26288844,27037700,27814784,28600576,29370215,30109194,30798778,31464631,32102724,32711374,33292576,33870350,34387634,34856401,35291856,35701587,36071266,36415211,36729070,37009066,37253803,37466633,37648312,37780900,37841672,37816647,37723732,37541440,37273401,36927489,36507012,36621962,36702558,36751908,36774266,36773027
BRB,52,Barbados,26654,27292,27969,28632,29289,29962,30245,30667,31130,31562,31954,32925,33814,34668,35544,36453,37212,38019,38842,39646,40413,41250,42011,42682,43244,43690,43968,44125,44150,44031,43782,43789,43700,43545,43353,43140,42858,42553,42221,41852,41445,41064,40646,40209,39787,39394,39068,38777,38504,38218,37900,37611,37291,36955,36633,36340,36124,35935,35760,35569,35346,35182,34985,34766,34554,34358
BLR,112,Belarus,1638872,1655348,1664321,1667692,1668962,1670475,1670568,1672677,1676293,1680692,1674716,1673241,1673703,1674154,1672264,1666725,1658078,1645758,1631904,1620311,1613498,1613016,1617461,1624011,1628499,1628627,1629095,1624205,1615500,1605244,1594524,1581937,1568365,1553646,1537454,1519828,1499011,1478189,1457389,1436710,1415040,1394402,1374104,1353813,1333878,1314864,1297131,1281899,1267872,1253183,1237005,1221245,1203246,1184381,1166638,1150944,1135428,1121714,1109251,1097141,1084974,1070035,1054787,1039214,1023217,1006672
BEL,56,Belgium,1645365,1642052,1630942,1615866,1602565,1594323,1588798,1587785,1589768,1592301,1594014,1594163,1593893,1593563,1593810,1594911,1596072,1597819,1600221,1603344,1607108,1611576,1616895,1621292,1622302,1618424,1608068,1593316,1576181,1559438,1544820,1535223,1527249,1520437,1513879,1506833,1495965,1484948,1474012,1463202,1452361,1439489,1424818,1410981,1397791,1385453,1371662,1357999,1345061,1333451,1323300,1313292,1304474,1296853,1290392,1285167,1281489,1278899,1277444,1277138,1277934,1275344,1272577,1269894,1267505,1265443
BLZ,84,Belize,16781,16836,16853,16849,16844,16858,17145,17412,17665,17918,18193,18832,19542,20313,21149,22035,22836,23703,24591,25438,26220,26972,27593,28159,28776,29488,30652,32058,33592,35134,36623,38117,39559,40990,42468,44031,45319,46607,47860,49034,50123,51600,52943,54253,55589,56968,58204,59501,60822,62109,63338,64467,65552,66599,67623,68632,69591,70531,71448,72325,73151,74225,75228,76172,77076,77946
BEN,204,Benin,554011,562724,572600,583610,595755,609058,621839,636109,651733,668562,682710,696137,710809,726577,743313,760970,777594,795451,814688,835494,857967,882953,910120,938772,968143,997736,1021846,1046330,1071653,1098462,1127230,1159392,1193853,1230194,1267920,1306604,1342577,1379810,1418023,1456940,1496441,1533823,1571831,1611038,1650903,1691456,1731378,1771899,1812956,1854513,1896467,1936887,1977849,2018957,2059801,2100076,2138561,2176374,2213166,2248629,2282436,2343748,2405978,2468962,2532544,2596598
BMU,60,Bermuda,7749,7874,7973,8064,8170,8303,8428,8590,8774,8960,9139,9258,9361,9451,9538,9626,9703,9781,9851,9906,9937,9953,9950,9927,9884,9819,9741,9640,9523,9402,9284,9167,9054,8933,8795,8634,8442,8222,7984,7732,7473,7208,6942,6684,6443,6228,6073,5946,5842,5751,5668,5615,5573,5542,5526,5526,5549,5586,5633,5684,5737,5741,5739,5730,5714,5690
BTN,64,Bhutan,45197,46424,47774,49232,50781,52400,53699,55088,56540,58036,59567,60568,61595,62713,63996,65476,67235,69185,71076,72613,73632,72916,71685,70319,69304,68996,70482,72774,75689,78963,82377,85896,89553,93322,97174,101088,105596,110148,114749,119448,124249,128754,133293,137724,141844,145541,149075,152038,154563,156871,159060,160801,162468,163953,165087,165790,166214,166198,165758,164943,163767,164354,164756,164947,164873,164511
BOL,68,Bolivia (Plurinational State of),609816,623239,637848,653373,669546,686207,701598,714003,726779,740097,754068,766448,779593,793317,807431,821877,835926,850424,865261,880302,895498,911899,928460,945480,963416,982480,1002459,1023671,1045566,1067406,1088768,1108923,1128897,1148744,1168712,1188994,1210115,1231434,1252953,1274701,1296658,1319403,1342523,1365409,1388496,1411584,1435713,1459666,1483498,1507391,1531396,1555403,1579883,1604441,1628550,1651948,1675639,1698734,1721336,1743668,1765833,1787886,1809021,1829282,1848734,1867446
BIH,70,Bosnia and Hercegovina,643958,656763,667852,677686,687193,696774,704817,713337,722133,730646,738706,749927,755978,761262,766904,773226,777463,782296,785157,783066,774740,762196,743080,720333,697784,678076,666249,657659,651539,646780,642410,637546,634771,632963,630741,627475,625638,621837,616772,611488,606387,599763,594108,588813,583656,578674,575138,571799,568244,563956,558541,552178,544497,535871,526845,517754,508816,499809,490334,479798,467896,458154,447186,435506,423804,412498
BWA,72,Botswana,70557,72586,74558,76730,79154,81850,84924,88305,91910,95623,99368,102651,105985,109380,112871,116497,120220,124139,128251,132561,137073,141718,146550,151572,156786,162158,166596,171175,175828,180442,184955,188260,191502,194867,198576,202778,208428,214404,220647,227040,233466,239867,246296,252810,259421,266131,272265,278691,285285,291869,298380,305204,311818,318335,324908,331583,338007,344504,351086,357710,364370,367133,369681,372088,374472,376902
BRA,76,Brazil,12512755,12890085,13270566,13660271,14068047,14496253,14920109,15360021,15819776,16303269,16812047,17322193,17864228,18424445,18987541,19545398,20085704,20630032,21176497,21725346,22278097,22849923,23415308,23979274,24544824,25110280,25665335,26206236,26737505,27264913,27789165,28265687,28751319,29229255,29682238,30103508,30502579,30883246,31236732,31550133,31816640,32082807,32273290,32417996,32557682,32711409,32830537,32975239,33127268,33259105,33358631,33460947,33535545,33579202,33590919,33567548,33520879,33439106,33322131,33168793,32980367,32840770,32661160,32453408,32234186,32013879
VGB,92,British Virgin Islands,1038,1054,1079,1110,1141,1170,1203,1230,1256,1285,1324,1382,1456,1543,1643,1752,1864,1989,2119,2245,2360,2421,2469,2506,2541,2578,2601,2628,2659,2692,2726,2761,2799,2838,2881,2929,2985,3051,3120,3188,3248,3281,3301,3317,3338,3368,3397,3438,3485,3534,3583,3623,3659,3694,3729,3764,3803,3842,3880,3915,3946,3938,3923,3906,3887,3868
BRN,96,Brunei Darussalam,18306,19309,20250,21217,22183,23129,23646,24325,25189,26248,27494,28483,29516,30568,31616,32646,33980,35422,36988,38696,40537,41650,42903,44316,45928,47769,49465,51404,53506,55624,57631,58330,58813,59185,59569,60061,60573,61112,61662,62197,62722,63679,64473,65149,65769,66347,66649,66994,67324,67565,67698,67921,68008,68001,67956,67895,67789,67660,67506,67309,67063,66790,66472,66116,65744,65363
