Country letter code,ISO code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AFG,4,Afghanistan,2004203,2053302,2104151,2154788,2195230,2230184,2260785,2286315,2300654,2296025,2268009,2215858,2144581,2063005,1983066,1914673,1856981,1811171,1790872,1812769,1886530,2020357,2205688,2414879,2610109,2765076,2869439,2932593,2972170,3014677,3078818,3169599,3279909,3401875,3523388,3636229,3738950,3835977,3931943,4033370,4144865,4267380,4398370,4537380,4683424,4835711,4993750,5157458,5326898,5502321,5683516,5869881,6059872,6251087,6440620,6625988,6805831,6978833,7142649,7294614,7432307,7672196,7907477,8137729,8362818,8582462
ALB,8,Albania,287503,296103,305384,315346,325971,337251,349166,361732,375006,389061,403929,419397,435338,451944,469490,488027,507850,528480,548263,564998,574588,578906,578667,575543,571906,569436,568608,568878,569657,570000,569241,567466,564982,561635,557238,551732,544929,537076,529065,521864,516371,512845,510941,510100,509519,508631,507332,505772,503970,502015,499970,497834,495557,493085,490330,487212,483667,479671,475210,470284,464866,463714,462059,459838,456973,453394
DZA,12,Algeria,2015691,2072075,2133275,2198939,2268492,2341564,2418009,2498094,2541170,2585776,2632284,2681013,2731695,2783437,2835006,2885611,2934796,2983093,3031869,3083012,3137786,3196034,3257016,3320588,3386470,3454060,3523687,3594346,3662435,3723229,3773437,3811088,3837330,3873802,3914353,3963044,4020955,4086776,4159282,4236451,4316747,4399948,4486299,4575250,4666275,4758828,4852561,4946827,5040314,5131465,5218863,5301536,5378819,5450063,5514844,5572687,5623987,5668410,5704448,5730386,5746023,5721338,5685650,5643348,5600237,5560969
ASM,16,American Samoa,3462,3571,3696,3828,3954,4028,4083,4123,4163,4224,4319,4451,4613,4802,5006,5221,5445,5677,5904,6119,6311,6471,6608,6727,6838,6945,7051,7151,7239,7307,7348,7363,7352,7318,7258,7175,7069,6943,6809,6679,6565,6468,6391,6329,6286,6257,6245,6251,6273,6305,6345,6391,6446,6506,6576,6655,6742,6835,6936,7043,7152,7228,7300,7372,7444,7514
AGO,24,Angola,976600,989373,1004372,1021329,1039824,1059564,1080257,1102069,1125704,1152124,1181838,1215375,1252109,1290079,1326655,1360118,1389617,1416035,1441564,1469231,1501116,1538036,1579109,1622622,1666085,1707861,1747388,1785559,1823829,1864288,1908383,1956547,2008240,2062639,2118570,2175192,2232403,2290593,2350014,2411103,2474181,2539340,2606571,2676110,2748203,2822986,2900543,2980839,3063911,3149704,3238191,3329309,3422959,3519171,3617922,3719225,3822998,3929095,4037264,4147148,4258556,4404317,4553161,4704855,4859129,5015779
AIA,660,Anguilla,441,437,436,434,436,440,449,462,476,486,491,488,480,474,479,503,549,613,689,766,835,895,946,987,1030,1079,1134,1191,1250,1304,1351,1391,1425,1453,1481,1506,1531,1554,1575,1594,1613,1631,1648,1664,1678,1691,1703,1714,1724,1736,1749,1763,1780,1797,1813,1830,1845,1860,1874,1889,1902,1891,1878,1864,1849,1833
ATG,28,Antigua and Barbuda,5981,6113,6243,6374,6498,6617,6726,6826,6910,6978,7024,7053,7068,7060,7020,6945,6830,6686,6545,6449,6427,6483,6611,6810,7078,7408,7806,8264,8725,9121,9405,9553,9584,9549,9509,9511,9568,9664,9788,9916,10032,10135,10232,10316,10382,10426,10444,10439,10428,10427,10453,10511,10596,10715,10868,11055,11281,11544,11831,12119,12394,12478,12535,12572,12599,12623
ARG,32,Argentina,3611491,3655892,3702571,3750115,3796606,3840737,3882035,3921097,3959025,3997450,4037610,4079805,4123857,4169977,4218282,4268833,4321814,4377233,4434739,4493822,4554104,4615363,4677632,4741052,4805834,4872014,4939530,5007994,5076721,5144864,5211816,5277325,5341468,5404419,5466525,5528086,5589055,5649395,5709417,5769478,5829746,5889201,5947946,6005675,6061987,6116469,6168850,6218753,6265509,6308342,6346552,6380392,6409637,6432602,6447129,6451977,6446133,6430830,6409857,6388477,6370531,6375388,6384247,6395452,6406259,6414651
ARM,51,Armenia,402206,414912,428022,441151,453838,465752,476664,486631,495986,505249,514771,524541,534339,544046,553472,562377,570995,579146,585719,589287,588995,584299,575884,565612,556027,548874,544770,543058,542652,541911,539665,535753,530579,524239,516964,508998,500246,490807,481383,472871,465902,460555,456699,453904,451509,449045,446414,443767,441169,438733,436491,434405,432332,430072,427361,424003,419870,414944,409278,402998,396216,391683,386766,381363,375327,368588
ABW,533,Aruba,7315,7536,7793,8060,8308,8513,8663,8768,8852,8947,9080,9269,9425,9582,9684,9700,9606,9435,9269,9223,9368,9731,10270,10900,11507,12012,12386,12655,12848,13012,13180,13359,13530,13656,13694,13613,13407,13096,12719,12325,11949,11606,11302,11036,10802,10600,10431,10299,10201,10133,10092,10076,10088,10123,10181,10260,10359,10475,10611,10766,10939,10958,10980,11007,11038,11075
