"Country letter code","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"AFG",4,"Afghanistan",2004203,2053302,2104151,2154788,2195230,2230184,2260785,2286315,2300654,2296025,2268009,2215858,2144581,2063005,1983066,1914673,1856981,1811171,1790872,1812769,1886530,2020357,2205688,2414879,2610109,2765076,2869439,2932593,2972170,3014677,3078818,3169599,3279909,3401875,3523388,3636229,3738950,3835977,3931943,4033370,4144865,4267380,4398370,4537380,4683424,4835711,4993750,5157458,5326898,5502321,5683516,5869881,6059872,6251087,6440620,6625988,6805831,6978833,7142649,7294614,7432307,7672196,7907477,8137729,8362818,8582462
"ALB",8,"Albania",287503,296103,305384,315346,325971,337251,349166,361732,375006,389061,403929,419397,435338,451944,469490,488027,507850,528480,548263,564998,574564,578822,578490,575247,571477,568871,567919,568088,568781,569028,568138,566177,563452,559830,555168,549449,542502,534574,526567,519661,514646,511805,510374,509974,509691,508875,507386,505387,502908,500058,496935,493551,489897,486014,481931,477657,473166,468445,463512,458400,453094,452060,450692,448898,446558,443569
"DZA",12,"Algeria",2015691,2072075,2133275,2198939,2268492,2341564,2418009,2498094,2550902,2606172,2664247,2725404,2789341,2855133,2921530,2987736,3053268,3118649,3185312,3255273,3329929,3409217,3492444,3579514,3670167,3763813,3860770,3960044,4058081,4150227,4233201,4304973,4366497,4421223,4474418,4529928,4588920,4650027,4711634,4776641,4841797,4907069,4972999,5039082,5104809,5169833,5234142,5297636,5359798,5419942,5477460,5531693,5582374,5629645,5673815,5714862,5752970,5787490,5816722,5838682,5852592,5836488,5811510,5781244,5750425,5722831
"ASM",16,"American Samoa",3462,3571,3696,3828,3954,4028,4083,4123,4163,4224,4319,4451,4613,4802,5006,5221,5445,5677,5904,6119,6311,6471,6608,6727,6838,6945,7051,7151,7239,7307,7348,7363,7352,7318,7258,7175,7069,6943,6809,6679,6565,6468,6391,6329,6286,6257,6245,6251,6273,6305,6345,6391,6446,6506,6576,6655,6742,6835,6936,7043,7152,7228,7300,7372,7444,7514
"AGO",24,"Angola",976600,988295,1002163,1017921,1035137,1053529,1072803,1093127,1115195,1139948,1167892,1199536,1234266,1270133,1304550,1335826,1363127,1387347,1410646,1436029,1465523,1499936,1538372,1579103,1619660,1658396,1694766,1729626,1764397,1801090,1841080,1884774,1931610,1980805,2031222,2082087,2133300,2185220,2238115,2292380,2348635,2407219,2468191,2531805,2598322,2667939,2740768,2816842,2896165,2978696,3064406,3153281,3245356,3340712,3439463,3541687,3647399,3756540,3869028,3984735,4103539,4245111,4390010,4537963,4688634,4841757
"AIA",660,"Anguilla",441,437,436,434,436,440,449,462,476,486,491,488,480,474,479,503,549,613,689,766,835,895,946,987,1030,1079,1134,1191,1250,1304,1351,1391,1425,1453,1481,1506,1531,1554,1575,1594,1613,1631,1648,1664,1678,1691,1703,1714,1724,1736,1749,1763,1780,1797,1813,1830,1845,1860,1874,1889,1902,1891,1878,1864,1849,1833
"ATG",28,"Antigua and Barbuda",5981,6113,6243,6374,6498,6617,6726,6826,6910,6978,7024,7053,7068,7060,7020,6945,6830,6686,6545,6449,6427,6483,6611,6810,7078,7408,7806,8264,8725,9121,9405,9553,9584,9549,9509,9511,9568,9664,9788,9916,10032,10135,10232,10316,10382,10426,10444,10439,10428,10427,10453,10511,10596,10715,10868,11055,11281,11544,11831,12119,12394,12478,12535,12572,12599,12623
"ARG",32,"Argentina",3611491,3655892,3702571,3750115,3796606,3840737,3882035,3921097,3959025,3997450,4037610,4079805,4123857,4169977,4218282,4268833,4321814,4377233,4434739,4493822,4554104,4615363,4677632,4741052,4805834,4872014,4939530,5007994,5076721,5144864,5211816,5277325,5341468,5404419,5466525,5528086,5589055,5649395,5709417,5769478,5829746,5889201,5947946,6005675,6061987,6116469,6168850,6218753,6265509,6308342,6346552,6380392,6409637,6432602,6447129,6451977,6446133,6430830,6409857,6388477,6370531,6375388,6384247,6395452,6406259,6414651
"ARM",51,"Armenia",402206,414640,427457,440278,452639,464205,474744,484313,493251,502097,511218,520621,530088,539494,548627,557226,565512,573305,579502,582695,582043,577012,568281,557699,547781,540252,535715,533520,532603,531363,528659,524345,518825,512195,504685,496533,487647,478130,468670,460148,453179,448040,444339,441713,439484,437162,434643,432077,429542,427171,425016,423051,421138,419084,416631,413587,409825,405332,400170,394476,388358,383926,379146,373911,368058,361508
"ABW",533,"Aruba",7315,7536,7793,8060,8308,8513,8663,8768,8852,8947,9080,9269,9425,9582,9684,9700,9606,9435,9269,9223,9368,9731,10270,10900,11507,12012,12386,12655,12848,13012,13180,13359,13530,13656,13694,13613,13407,13096,12719,12325,11949,11606,11302,11036,10802,10600,10431,10299,10201,10133,10092,10076,10088,10123,10181,10260,10359,10475,10611,10766,10939,10958,10980,11007,11038,11075
