Developing regions,"Country 
letter code",ISO code,CountryOld,Country,,EXCLUDE1isyes,Start year,End year,"Age 
range",Population type,Contraceptive-use-ANY,Contraceptive-use-MODERN,Contraceptive-use-TRADITIONAL,Note on country,Note on population,Note on methods,"Notes on residuals 
(Modern methods)","Notes on residuals 
(Traditional methods)",GEO biases (unknown direction),Non-pregnant and other positive biases,Negative bias,Modern method bias,Folk method positive bias,Unmet,Spacing,Limiting,,Data series/type,Sponsor,Source name,Data Catalogue ID
developing,AFG ,4,Afghanistan,Afghanistan,Afghanistan1972,0,1972,1975,15-44,EM,1.6,1.6,,,Data pertain to ever-married women of reproductive age.,,,,,,,,,,,,,National survey,,National Demographic and Family Guidance Survey,160
developing,AFG ,4,Afghanistan,Afghanistan,Afghanistan2000,0,2000.42,2000.83,Dec-49,MW,5.3,3.6,1.2,"Data pertain to Nangarhar, Konar and Laghman, Ghazni, Paktika and Paktya, Logar and Wardak provinces.",,Figures by method do not add up to the total. Excluding Lactational Amenorrhea Method (LAM).,,,"Data pertain to Nangarhar, Konar and Laghman, Ghazni, Paktika and Paktya, Logar and Wardak provinces.",,,,,,,,,MICS1,,2000 Afghanistan Multiple Indicator Cluster Survey ,2893
developing,AFG ,4,Afghanistan,Afghanistan,Afghanistan2003,0,2003.41,2003.58,<50,MW,10.3,8.7,1.6,,,Adjusted.,Including male and female sterilization.,,,,,,,,,,,MICS2,,Multiple Indicator Cluster Survey 2003,1925
developing,AFG ,4,Afghanistan,Afghanistan,Afghanistan2005,0,2005.41,2005.66,<50,MW,13.6,12.5,1.1,,,Adjusted.,Including male and female sterilization.,,,,,,,,,,,National survey,,National Risk and Vulnerability Assessment 2005,4368
developing,AFG ,4,Afghanistan,Afghanistan,Afghanistan2006,0,2006.7,2006.91,Oct-49,MW,18.6,17.5,1.1,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",,Figures by method do not add up to the total because some methods are used in combination.,,,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",,,,,,,,,National survey,,2006 Afghanistan Health Survey,4369
developing,AFG ,4,Afghanistan,Afghanistan,Afghanistan2007,0,2007.62,2008.67,15-49,MW,22.8,15.2,7.6,,,,,,,,,,,,,,,National survey,,Afghanistan 2007-2008 National Risk and Vulnerability Assessment,4465
developing,AFG ,4,Afghanistan,Afghanistan,Afghanistan2010,0,2010.25,2011,15-49,MW,21.8,19.9,2,Excluding areas in the South zone.,,,,,Excluding areas in the South zone.,,,,,,,,,National survey,,Afghanistan Mortality Survey (AMS) 2010,5045
developing,AFG ,4,Afghanistan,Afghanistan,Afghanistan2010,0,2010.75,2011.41,15-49,MW,21.2,20.3,1,,,,,,,,,,,,,,,MICS,,Afghanistan Multiple Indicator Cluster Survey 2010-2011,4983
,ALB ,8,Albania,Albania,Albania2000,0,2000.42,2000.52,15-49,MW,57.5,17.9,39.6,,,,,,,,,,,,,,,MICS2,,2000 Albania Multiple Indicator Cluster Survey,1943
,ALB ,8,Albania,Albania,Albania2002,0,2002.58,2003,15-44,MW,75.1,8,67.1,,,,,Including withdrawal.,,,,,,1.3,1,0.3,,RHS,,Reproductive Health Survey Albania 2002,1681
